"GEOID","NAME","B03003_001E","B03003_001M","B03003_003E","B03003_003M","type","pct","moe"
"34005","Burlington County, New Jersey",450236,0,33575,0,"cty",0.0745720022388259,0
"34007","Camden County, New Jersey",511145,0,80127,0,"cty",0.15675982353344,0
"34015","Gloucester County, New Jersey",291286,0,16238,0,"cty",0.055745899219324,0
"34021","Mercer County, New Jersey",371101,0,60982,0,"cty",0.164327231670084,0
"42017","Bucks County, Pennsylvania",626220,0,30399,0,"cty",0.0485436428092364,0
"42029","Chester County, Pennsylvania",512028,0,36161,0,"cty",0.0706230909247151,0
"42045","Delaware County, Pennsylvania",562316,0,19528,0,"cty",0.0347278042950939,0
"42091","Montgomery County, Pennsylvania",815876,0,38600,0,"cty",0.0473111110021621,0
"42101","Philadelphia County, Pennsylvania",1559938,0,214770,0,"cty",0.137678548762835,0
