"GEOID","type","pct","moe","relative","cv"
"42017100102","trct",0.0396505376344086,2.40003912131125,0.605298002120533,36.7962311319473
"42017100103","trct",0.067223382045929,4.43634826790795,0.65994124854904,40.1180090303368
"42017100104","trct",0.145828771622509,6.40746869680001,0.439383026100385,26.710214352607
"42017100105","trct",0.0760502913216805,7.90542745729117,1.03949995718655,63.1914867590609
"42017100201","trct",0.0383421985815603,3.15814540429907,0.823673529722394,50.0713391928507
"42017100206","trct",0.0702439024390244,4.16300723840813,0.59265033602338,36.0273760500535
"42017100207","trct",0.0480112967757119,3.2083918303502,0.66825769054696,40.6235678144049
"42017100208","trct",0.226524027848531,7.16393441471734,0.316254945789133,19.2252246680324
"42017100209","trct",0.0690785754663652,3.14391079167496,0.455120964850492,27.6669279544372
"42017100210","trct",0.0545577312626604,1.98007273209207,0.362931648048064,22.0627141670556
"42017100211","trct",0.0441318438836023,4.63897271128557,1.05116222279786,63.9004390758581
"42017100212","trct",0.0881670533642691,6.30294324975921,0.714886458064795,43.4581433474039
"42017100302","trct",0.0754677754677755,5.94038706391097,0.787142197724841,47.850589527346
"42017100303","trct",0.19750643182268,6.41944605891142,0.325024658674142,19.7583379133217
"42017100304","trct",0.0804395604395604,5.6529562196905,0.702758218568081,42.7208643506432
"42017100306","trct",0.06282722513089,3.99154851829591,0.635321472495432,38.6213661091448
"42017100307","trct",0.156943626006678,6.96714066230419,0.443926321799632,26.9864025410111
"42017100401","trct",0.141752577319588,4.24429715576347,0.299415872079314,18.201572770779
"42017100402","trct",0.0829281469475959,2.57348226894417,0.310326754385385,18.8648482909049
"42017100403","trct",0.108283002588438,7.30576838390089,0.674692076250289,41.0147158814765
"42017100404","trct",0.0676549440151396,2.03165506298032,0.300296614320704,18.2551133325656
"42017100406","trct",0.0287907869481766,1.85381805685112,0.643892805079622,39.1424197616792
"42017100407","trct",0.0195348837209302,2.59183755482582,1.32677398639893,80.6549535804823
"42017100408","trct",0.0447004608294931,3.09396613818961,0.692155311326955,42.0763107189638
"42017100500","trct",0.0649738610903659,4.25256999836425,0.654504738828704,39.7875221172465
"42017100600","trct",0.226435834020335,7.71014169990258,0.340500068518756,20.6990923111706
"42017100700","trct",0.166361416361416,4.92508461488627,0.296047288043439,17.996795625741
"42017100803","trct",0.120707382274316,7.11185861205453,0.589181744981621,35.8165194517703
"42017100804","trct",0.0608452138492872,4.80017666805619,0.788916064942457,47.9584234007573
"42017100805","trct",0.00911013502521555,1.52643808619317,1.67553837782668,101.856436342047
"42017100807","trct",0.0670164559980921,3.75289605032032,0.559996197117193,34.0423220132032
"42017100808","trct",0.0689858490566038,4.16056028304636,0.603103439320225,36.6628230589802
"42017100809","trct",0.0562301513170185,4.80174298016443,0.853944524013959,51.9115212166541
"42017100811","trct",0.0230836236933798,1.80257564198373,0.780889372451822,47.4704785684998
"42017100900","trct",0.0109036220077704,1.21413488519063,1.11351520102713,67.690893679461
"42017101100","trct",0.0821820758058803,4.2507592641041,0.517236784593356,31.4429656287755
"42017101401","trct",0.0196302214106368,1.75497196603956,0.894015370141779,54.3474389143938
"42017101403","trct",0.0105640107430618,0.875668964375089,0.828917146785572,50.3901001085454
"42017101404","trct",0.0275657336726039,2.28070919181935,0.827371119124618,50.2961166641105
"42017101405","trct",0.0447894893998208,2.67867550320186,0.598058950681535,36.356167214683
"42017101503","trct",0.0428839453229697,5.94626406651057,1.38659445200943,84.2914560492057
"42017101504","trct",0.0390032502708559,3.63695583036785,0.932475064285979,56.6854142423088
"42017101505","trct",0.00701647345942648,1.06704422178512,1.52076998217897,92.4480232327644
"42017101603","trct",0.0483686319404694,3.71874131222636,0.768833263012952,46.737584377687
"42017101605","trct",0.315016579819991,11.3325736139362,0.35974530675217,21.8690156080346
"42017101607","trct",0.0627400768245839,6.29162827156324,1.002808506141,60.9610034128266
"42017101609","trct",0.00823233478161445,0.95955378792785,1.16559130961347,70.8566145661683
"42017101610","trct",0.0271236333052986,3.31987688419169,1.22397941559812,74.4060435014053
"42017101611","trct",0.0294160266628025,2.18480782500399,0.742727034500126,45.1505796048709
"42017101802","trct",0.00689549494330371,0.796415820233934,1.15497992063259,70.2115453272091
"42017101803","trct",0.045739046701974,3.84729108599849,0.841139324801986,51.1330896536162
"42017101805","trct",0.00788863109048724,0.741556433218951,0.94003183152167,57.1447921897672
"42017101807","trct",0.176861071597914,7.72182642825536,0.436604073383125,26.5412810567249
"42017101808","trct",0.0046656298600311,0.737545579556842,1.58080602551683,96.0976307305064
"42017101900","trct",0.0310804144055254,2.935324014039,0.944428853405882,57.4120883529412
"42017102002","trct",0.0168602472836268,1.0834414228491,0.642601146129836,39.0638994607803
"42017102003","trct",0.0260802863717719,1.86405859395758,0.714738545192952,43.4491516834621
"42017102004","trct",0.00851900393184797,0.829460832688581,0.973659408217519,59.1890217761409
"42017102104","trct",0.0375586854460094,3.13221527538285,0.833952317070684,50.6961894875796
"42017102300","trct",0.0322974860335196,3.02022592215657,0.935127247681775,56.8466411964605
"42017102401","trct",0.0134994807892004,1.71222106578609,1.26836068180924,77.1039928151511
"42017102402","trct",0.0258453586043506,2.88416707053003,1.11593230903925,67.8378303367322
"42017102500","trct",0.0130146710837672,1.15946908317198,0.890893880997235,54.1576827353942
"42017102600","trct",0.0691994572591588,6.43760320424738,0.930296776770651,56.5529955483679
"42017102700","trct",0.0182370820668693,1.4247435620729,0.781234386536639,47.4914520690966
"42017103101","trct",0.0475594493116396,3.57039309487525,0.750722127054032,45.6366034683302
