"GEOID","type","pct","moe","relative","cv"
"34005","cty",0.0745720022388259,0,0,0
"34007","cty",0.15675982353344,0,0,0
"34015","cty",0.055745899219324,0,0,0
"34021","cty",0.164327231670084,0,0,0
"42017","cty",0.0485436428092364,0,0,0
"42029","cty",0.0706230909247151,0,0,0
"42045","cty",0.0347278042950939,0,0,0
"42091","cty",0.0473111110021621,0,0,0
"42101","cty",0.137678548762835,0,0,0
