"GEOID","NAME","B03003_001E","B03003_001M","B03003_003E","B03003_003M","type","pct","moe"
"34007607900","Census Tract 6079, Camden County, New Jersey",1950,137,72,39,"trct",0.0369230769230769,1.98310547933787
"34007608001","Census Tract 6080.01, Camden County, New Jersey",3438,209,215,142,"trct",0.0625363583478767,4.11277531622284
"34007608202","Census Tract 6082.02, Camden County, New Jersey",3869,231,320,240,"trct",0.0827087102610494,6.18346642131516
"34007608205","Census Tract 6082.05, Camden County, New Jersey",4214,227,95,117,"trct",0.0225439012814428,2.77380232442878
"34007608206","Census Tract 6082.06, Camden County, New Jersey",3616,362,220,129,"trct",0.0608407079646018,3.51509883684163
"34007608209","Census Tract 6082.09, Camden County, New Jersey",3151,285,191,150,"trct",0.0606156775626785,4.72871701518341
"34007608210","Census Tract 6082.10, Camden County, New Jersey",4039,407,442,293,"trct",0.109433027977222,7.16996746596699
"34007608211","Census Tract 6082.11, Camden County, New Jersey",5869,420,490,139,"trct",0.0834895212131539,2.29177524367022
"34007608302","Census Tract 6083.02, Camden County, New Jersey",4665,529,311,261,"trct",0.0666666666666667,5.54354522461442
"34007608303","Census Tract 6083.03, Camden County, New Jersey",2983,285,285,202,"trct",0.0955414012738854,6.70990117417374
"34007608304","Census Tract 6083.04, Camden County, New Jersey",6715,561,728,540,"trct",0.108413998510797,7.99052826068541
"34007608401","Census Tract 6084.01, Camden County, New Jersey",3845,241,158,111,"trct",0.0410923276983095,2.8753534686459
"34007608402","Census Tract 6084.02, Camden County, New Jersey",3855,255,39,34,"trct",0.0101167315175097,0.879429006753584
"34007608403","Census Tract 6084.03, Camden County, New Jersey",6989,533,635,199,"trct",0.090857061096008,2.76173600015797
"34007608404","Census Tract 6084.04, Camden County, New Jersey",5892,495,25,41,"trct",0.00424304141208418,0.694945154857177
"34007608503","Census Tract 6085.03, Camden County, New Jersey",2938,227,210,148,"trct",0.0714771953710007,5.00707677910373
"34007608504","Census Tract 6085.04, Camden County, New Jersey",3298,274,674,324,"trct",0.204366282595512,9.67630196801275
"34007608600","Census Tract 6086, Camden County, New Jersey",4924,37,656,251,"trct",0.133225020308692,5.09649862792309
"34007608700","Census Tract 6087, Camden County, New Jersey",7620,46,455,268,"trct",0.0597112860892388,3.51687564480074
"34007608800","Census Tract 6088, Camden County, New Jersey",5411,21,348,210,"trct",0.06431343559416,3.88090291861379
"34007608901","Census Tract 6089.01, Camden County, New Jersey",6231,255,560,380,"trct",0.0898732145722998,6.08743848573131
"34007608903","Census Tract 6089.03, Camden County, New Jersey",3184,229,15,19,"trct",0.00471105527638191,0.595770945716444
"34007608904","Census Tract 6089.04, Camden County, New Jersey",1306,117,42,40,"trct",0.0321592649310873,3.0492066697153
"34007609000","Census Tract 6090, Camden County, New Jersey",1639,137,306,150,"trct",0.186699206833435,9.01788702894105
"34007609103","Census Tract 6091.03, Camden County, New Jersey",5287,409,277,113,"trct",0.0523926612445621,2.09853615352626
