"GEOID","B01003_001E","B01003_001M","B00001_001E","type","landArea","popDens","popSamp"
"340057029171",1853,107,299,"bg",0.4779782865,3876.74514164358,16.1359956826767
"340057029181",1715,121,278,"bg",0.6638572512,2583.38670986863,16.2099125364431
"340057030001",1800,332,116,"bg",1.1623061736,1548.64530610285,6.44444444444444
"340057030002",2340,286,166,"bg",2.7065239344,864.577611990986,7.09401709401709
"340057030003",1965,347,113,"bg",2.6198495037,750.043083476681,5.75063613231552
"340057031021",2738,171,408,"bg",6.5603648682,417.354835440919,14.9013878743608
"340057031031",1670,262,173,"bg",1.5952393314,1046.8648604184,10.3592814371257
"340057031032",596,198,41,"bg",0.0726319737,8205.75250318442,6.87919463087248
"340057031033",2408,332,186,"bg",2.2694568039,1061.04685308921,7.72425249169435
"340057031041",2828,255,277,"bg",0.8472767589,3337.75235812148,9.79490806223479
"340057031042",1013,159,88,"bg",0.9027029583,1122.18531099944,8.68706811451135
"340057031043",1174,180,123,"bg",0.6349920291,1848.8421054103,10.4770017035775
"340057032011",2856,264,223,"bg",24.4852253217,116.641769167992,7.80812324929972
"340057032012",896,232,87,"bg",0.7510498281,1192.996744659,9.70982142857143
"340057032021",1014,172,153,"bg",5.2801480017,192.040071542224,15.0887573964497
"340057032022",1742,195,262,"bg",10.1316041541,171.93723456863,15.0401836969001
"340057032031",763,134,50,"bg",0.4009277844,1903.08586655288,6.55307994757536
"340057032032",1593,178,85,"bg",1.9591501644,813.107657057959,5.33584431889517
"340057032033",1472,178,94,"bg",0.8806145634,1671.5599096121,6.38586956521739
"340057036001",2453,458,121,"bg",2.2279946832,1100.9900600287,4.93273542600897
"340057036002",1387,285,85,"bg",5.7669540786,240.508244230152,6.12833453496756
"340057036003",1911,361,104,"bg",9.2870200566,205.771064168415,5.4421768707483
"340057036004",1194,317,73,"bg",31.8121191531,37.532865831846,6.11390284757119
"340057037001",2682,433,145,"bg",2.6387776701,1016.37967851167,5.40641312453393
"340057037002",2325,372,135,"bg",23.1499590894,100.4321429261,5.80645161290323
"340057037003",1481,400,79,"bg",18.6517195722,79.4028665435974,5.33423362592843
"340057038011",1478,267,98,"bg",2.6479525644,558.167098561639,6.63058186738836
"340057038012",1960,355,119,"bg",4.8508198596,404.055408514309,6.07142857142857
"340057038013",922,212,58,"bg",2.4870268566,370.72378110965,6.29067245119306
"340057038014",1833,346,109,"bg",1.7076496437,1073.40519571005,5.94653573376978
"340057038015",742,130,50,"bg",2.7322316307,271.572875323861,6.73854447439353
"340057038021",2467,245,218,"bg",4.9939896006,493.993820031905,8.83664369679773
"340057038022",1621,225,157,"bg",1.4422815693,1123.91368960413,9.68537939543492
"340057038031",1305,233,126,"bg",0.7474444263,1745.94920248454,9.6551724137931
"340057038032",1149,189,123,"bg",0.7845799104,1464.47797702876,10.7049608355091
"340057038033",2418,236,272,"bg",1.4639823198,1651.65929075587,11.2489660876758
"340057038041",1059,346,61,"bg",0.8058621285,1314.12057043949,5.76015108593012
"340057038042",692,216,42,"bg",0.3330274662,2077.90669008789,6.06936416184971
"340057038043",647,215,42,"bg",0.7998648372,808.886664233025,6.49149922720247
"340057038044",3134,509,177,"bg",11.3333523732,276.528947199328,5.64773452456924
"340057038045",1317,227,83,"bg",0.5359442517,2457.34513584671,6.30220197418375
"340057038046",571,286,32,"bg",1.1324764737,504.204734721281,5.60420315236427
"340057039001",1381,246,142,"bg",0.469042002,2944.29921864439,10.2824040550326
"340057039002",673,184,64,"bg",0.1784762694,3770.80943176639,9.50965824665676
"340057039003",517,139,53,"bg",0.1773758844,2914.71414927023,10.2514506769826
"340057039004",1510,263,122,"bg",0.3146425425,4799.0967400729,8.0794701986755
"340057040041",2091,333,166,"bg",0.3925779858,5326.33024681436,7.93878527020564
"340057040042",1664,221,177,"bg",0.975697866,1705.44597665442,10.6370192307692
"340057040051",1734,200,148,"bg",0.3719857284,4661.46915758933,8.53517877739331
"340057040052",2161,205,231,"bg",0.7488397917,2885.797501618,10.6894956038871
"340057040061",2307,119,358,"bg",0.9742488327,2367.97820286472,15.5179887299523
"340057040071",2151,335,184,"bg",0.5471488737,3931.28836299019,8.55416085541609
"340057040072",1602,321,171,"bg",0.5029458291,3185.23369180079,10.6741573033708
"340057040081",1036,226,97,"bg",1.2905211033,802.77648877716,9.36293436293436
"340057040082",1607,248,153,"bg",0.4109443767,3910.50490313231,9.52084629744866
"340057040083",1646,265,155,"bg",0.462339306,3560.15588257166,9.41676792223572
"340057040084",1072,257,93,"bg",1.6093126764,666.122883216233,8.67537313432836
"340057040091",1889,310,164,"bg",1.2781585674,1477.90739598339,8.68184224457385
"340057040092",2889,256,259,"bg",2.0374122483,1417.97518023687,8.9650398061613
"340057040111",3092,148,297,"bg",9.0638863029,341.134023162968,9.60543337645537
"340057040121",1585,337,94,"bg",0.3993258555,3969.18951820789,5.93059936908517
"340057040122",1573,383,75,"bg",2.5552904949,615.585587290168,4.76795931341386
"340057040123",664,164,50,"bg",0.1466164557,4528.823158559,7.53012048192771
"340057040124",1548,371,89,"bg",0.4682072538,3306.22814455849,5.74935400516796
"340057040131",2282,272,206,"bg",0.5501755116,4147.76730677011,9.02716914986854
"340057040132",1662,257,158,"bg",0.4397007186,3779.8437202736,9.50661853188929
"340057040133",1305,245,129,"bg",0.3745946061,3483.76612676485,9.88505747126437
"340057040141",1952,329,116,"bg",0.5923441953,3295.38132641172,5.94262295081967
"340057040142",3663,421,206,"bg",2.3548250583,1555.52956559941,5.62380562380562
"340057040143",2403,398,156,"bg",0.6055808616,3968.09105500966,6.49188514357054
"340057042001",3548,469,194,"bg",4.5611128134,777.880343054968,5.46786922209696
"340057042002",629,149,168,"bg",0.278760339,2256.41855027304,26.7090620031796
"340057042003",2449,379,153,"bg",0.8751890862,2798.25244466126,6.24744793793385
"340057042004",1603,321,99,"bg",0.5519233863,2904.38861586612,6.17592014971928
"340057043021",4716,443,421,"bg",9.0644202792,520.275964125554,8.92705682782019
"340057043022",1264,407,90,"bg",11.2756636278,112.099832145012,7.12025316455696
"340057045001",875,221,79,"bg",7.8612983163,111.304769873156,9.02857142857143
"340057045002",2288,367,168,"bg",8.0913127581,282.772408928272,7.34265734265734
"340057045003",764,180,179,"bg",0.4655674881,1641.00805904191,23.4293193717278
"340057045004",316,160,22,"bg",0.6596271396,479.058518107098,6.9620253164557
"340057046001",944,229,82,"bg",0.8214096033,1149.24392922544,8.6864406779661
"340057046002",1567,254,136,"bg",0.63413064,2471.0996459657,8.67900446713465
"340057047001",1439,189,342,"bg",92.6437872789,15.5326119782642,23.7665045170257
"340057047002",2279,208,518,"bg",176.7848421339,12.8913767294248,22.729267222466
"340057048011",896,207,177,"bg",2.12158089,422.326579308508,19.7544642857143
"340057048012",2127,177,282,"bg",5.0896999296,417.902829129489,13.2581100141044
"340057048013",415,309,64,"bg",13.1414273991,31.5795223301558,15.421686746988
"340057048021",0,12,0,"bg",1.4825954286,0,NA
"340057048022",656,158,94,"bg",2.7362188854,239.746901646029,14.3292682926829
"340057048023",4781,362,409,"bg",1.0601136117,4509.89398422418,8.55469567036185
"340057048024",267,128,26,"bg",0.6680850462,399.649717530229,9.73782771535581
"340059818021",1641,275,277,"bg",0.9480102489,1730.99394432085,16.8799512492383
"340059821111",1195,215,208,"bg",4.5245155527,264.116674167886,17.4058577405858
"340076002001",1100,278,104,"bg",0.3803023224,2892.43566291721,9.45454545454546
"340076002002",691,204,75,"bg",0.0720941364,9584.69071834253,10.8538350217077
"340076004001",713,353,37,"bg",0.0686535993,10385.471515985,5.18934081346424
"340076004002",438,299,17,"bg",0.0831956697,5264.69708795433,3.88127853881279
"340076004003",336,292,16,"bg",0.0527949279,6364.24772918385,4.76190476190476
"340076004004",470,357,35,"bg",0.048930453,9605.47003315093,7.4468085106383
"340076004005",900,498,47,"bg",0.07942077,11332.0482790585,5.22222222222222
"340076007001",1423,248,132,"bg",0.2430626913,5854.45669341192,9.27617709065355
"340076008001",1231,408,66,"bg",0.1153153287,10675.0768859405,5.36149471974005
"340076008002",742,263,70,"bg",0.0810292626,9157.18564122784,9.43396226415094
"340076008003",1427,404,91,"bg",0.0704466477,20256.4642405262,6.37701471618781
"340076008004",1040,518,44,"bg",0.0615149964,16906.4465717826,4.23076923076923
"340076008005",665,359,36,"bg",0.1001798226,6638.06326205253,5.41353383458647
"340076009001",1346,290,81,"bg",0.3511432782,3833.19312532408,6.01783060921248
"340076009002",1099,398,62,"bg",0.1585218492,6932.79825807129,5.64149226569609
"340076009003",1866,395,121,"bg",0.1804260744,10342.1858853013,6.48445873526259
"340076010001",2032,548,100,"bg",0.2253881916,9015.55660735866,4.92125984251969
"340076010002",1236,399,69,"bg",0.1472527485,8393.73127218743,5.58252427184466
"340076010003",1757,540,93,"bg",0.1108091556,15856.0905052145,5.29311326124075
"340076010004",1553,524,103,"bg",0.0888481737,17479.2563012469,6.63232453316162
"340076011011",1577,456,118,"bg",0.1122512391,14048.8426911271,7.48256182625238
"340076011012",526,197,57,"bg",0.0675142182,7790.95150656725,10.8365019011407
"340076011013",1163,399,91,"bg",0.1060431372,10967.2349452144,7.82459157351677
"340076011021",1234,422,70,"bg",0.1249099137,9879.11978679079,5.67260940032415
"340076011022",1955,531,98,"bg",0.0905006817,21602.0472252421,5.01278772378517
"340076011023",1036,384,57,"bg",0.0836759781,12381.0922026139,5.5019305019305
"340076011024",1667,534,72,"bg",0.0907242336,18374.362988281,4.31913617276545
"340076012001",1172,499,46,"bg",0.0732813939,15993.1455670632,3.92491467576792
"340076012002",1770,696,70,"bg",0.0964122588,18358.6612535625,3.95480225988701
"340076012003",1571,702,51,"bg",0.0659725209,23812.9448226072,3.24633991088479
"340076012004",1234,469,52,"bg",0.0754508898,16355.0092420514,4.21393841166937
"340076013001",703,299,42,"bg",0.0675447201,10407.9193600804,5.97439544807966
"340076013002",1481,437,87,"bg",0.0763952904,19386.0117848312,5.87440918298447
"340076013003",1180,341,72,"bg",0.0851836986,13852.4156545605,6.10169491525424
"340076013004",976,434,47,"bg",0.3281394402,2974.34529480861,4.8155737704918
"340076014001",1053,341,49,"bg",0.0721122831,14602.2280079495,4.65337132003799
"340076014002",1201,459,68,"bg",0.0401756355,29893.7399509212,5.66194837635304
"340076014003",510,270,22,"bg",0.1485728244,3432.66005785106,4.31372549019608
"340076014004",962,359,51,"bg",0.0638234883,15072.8207690271,5.3014553014553
"340076014005",801,301,51,"bg",0.282312459,2837.28179350384,6.36704119850187
"340076015001",281,246,11,"bg",0.042158259,6665.36063550442,3.91459074733096
"340076015002",1666,623,52,"bg",0.0946080135,17609.5019688792,3.12124849939976
"340076015003",1290,477,42,"bg",0.0667675008,19320.7770927978,3.25581395348837
"340076015004",839,408,24,"bg",0.0361961028,23179.2910036713,2.86054827175209
"340076015005",1732,419,69,"bg",0.2125306755,8149.4118245533,3.9838337182448
"340076016001",689,216,84,"bg",0.0557910639,12349.6479872649,12.1915820029028
"340076016002",662,206,58,"bg",0.0592941492,11164.6765984796,8.76132930513595
"340076016003",1141,273,98,"bg",0.0876771324,13013.6555424114,8.58895705521472
"340076017001",2107,313,132,"bg",0.1751785893,12027.7255823295,6.26483151400095
"340076017002",1160,397,66,"bg",0.1640786004,7069.78239192733,5.68965517241379
"340076018001",1394,251,88,"bg",0.7775135082,1792.89489545617,6.31276901004304
"340076019001",1886,480,97,"bg",0.3077417772,6128.51468253625,5.14316012725345
"340076019002",1160,341,61,"bg",0.1340631864,8652.63635118253,5.25862068965517
"340076020001",817,501,26,"bg",0.1330604847,6140.06481219439,3.18237454100367
"340076020002",1912,538,78,"bg",0.2091287484,9142.69326732125,4.07949790794979
"340076020003",1048,538,34,"bg",0.0484617276,21625.3124248918,3.24427480916031
"340076020004",2057,524,71,"bg",0.0955840743,21520.3214035834,3.45162858531842
"340076020005",783,499,25,"bg",0.1910527047,4098.34553888941,3.19284802043423
"340076025031",1151,353,116,"bg",0.1487793879,7736.28670104241,10.0781928757602
"340076025032",739,311,66,"bg",0.1432654938,5158.2553509476,8.93098782138024
"340076025033",547,145,66,"bg",0.1106300052,4944.40905983072,12.0658135283364
"340076026011",1334,294,176,"bg",0.2725198047,4895.05708206608,13.1934032983508
"340076026012",1396,214,165,"bg",0.2963803986,4710.16304247591,11.8194842406877
"340076026021",1399,295,96,"bg",0.112984443,12382.2356676131,6.86204431736955
"340076026022",1374,353,85,"bg",0.1439600877,9544.31205170765,6.1863173216885
"340076029011",2542,471,221,"bg",1.009450728,2518.20116573337,8.69394177812746
"340076029012",593,143,59,"bg",0.3212116479,1846.13479578615,9.94940978077572
"340076029013",1722,386,146,"bg",0.3770424801,4567.12463684009,8.47851335656214
"340076029021",1315,244,121,"bg",0.3501938583,3755.06299963,9.20152091254753
"340076029022",1868,341,120,"bg",0.2721622761,6863.55224084636,6.42398286937901
"340076030011",721,204,74,"bg",0.1250875197,5763.96431657762,10.2635228848821
